username,following,followers,totaltweets,tweetcreated,retweetcount,text,hashtags
mscaprioli,857,385,12405,2021-01-17 16:33:04,0,"@gottsled But let’s say it takes ten minutes to apply a vaccine. One nurse could apply 48 vaccines in a nine hour day (providing time for breaks.) If you have two nurses, that surpasses 90/day. I imagine a “mega site” would have, IDK, 10 nurses? We should be shooting 500 arms per day.",[]
DisappearedNews,3085,1217,100241,2021-01-17 16:33:04,9190,what kind of shithole president lies about having a stockpile of vaccines,[]
kikosegovia,763,779,7655,2021-01-17 16:33:03,64,"Israel: Provide Vaccines to Occupied Palestinians 

Over 4.5 Million in West Bank, Gaza Excluded From Vaccination Push https://t.co/5aSmG80lkl https://t.co/Y3bNpTlING",[]
CarterNab,430,24,120,2021-01-17 16:33:02,3326,"We're deploying vaccines like we do annual flu shots rather than the mass vaccinations done in Africa &amp; Asia where millions are vaccinated in weeks

Years ago, Joe Rhatigan &amp; I studied these campaigns. They offer several lessons that can inform what we need in the US now

THREAD",[]
JasonWa50514449,820,80,5778,2021-01-17 16:33:02,18,"Given the risks of not being fully protected and causing further mutations rendering the vaccines ineffective, surely it’s far better to make sure everyone who is vaccinated is vaccinated properly, with the 2 doses 3-4 weeks apart as stipulated. We were told it needed 2 doses.",[]
Noname06401912,4500,2618,45754,2021-01-17 16:33:00,2237,"Vaccines may be our way out of this pandemic but they won’t change the social and environmental conditions that gave rise to the virus in the first place. We have to fundamentally change the way we treat animals. Until we do that, we’ll always be at risk from zoonotic viruses.",[]
ClaireLYoung,4930,21172,50010,2021-01-17 16:33:00,1,@ClaireLYoung Very much so! I am loving the smiles on peoples faces in care homes when they receive the vaccines.,[]
jeff7091,336,195,8290,2021-01-17 16:33:00,103,"Vaccines won't change the overall pandemic curve for months, but scaling up vaccinations will greatly reduce deaths. No time to waste.",[]
komonews,2307,438069,282988,2021-01-17 16:33:00,0,"Brazil hasn’t approved a vaccine yet, and independent health experts who participated in its immunization program say the plan is still incomplete.
https://t.co/lMbh5t8TNE",[]
pissedoffmom18,657,64,2017,2021-01-17 16:33:00,103,"Vaccines won't change the overall pandemic curve for months, but scaling up vaccinations will greatly reduce deaths. No time to waste.",[]
LilliD5,1243,1113,15228,2021-01-17 16:32:58,121,"@KooyJan @hrw @netanyahu This is grotesque misinformation. As per the Oslo Accords, the Palestinian Authority is the sole and exclusive responsible for health care of Palestinians, not Israel. And the PA is procuring vaccines on its own, having explicitly rejected any collaboration from Israel.",[]
NormanJ22638028,123,18,2458,2021-01-17 16:32:58,9190,what kind of shithole president lies about having a stockpile of vaccines,[]
deejay90192,32272,47347,421322,2021-01-17 16:32:58,457,"“We’re inheriting a huge mess here,” Ron Klain, Biden’s WH chief of staff says on @CNNSotu of vaccines.
Says expects US to hit 500,000 covid deaths in February.",[]
DukeofDank_,244,102,1575,2021-01-17 16:32:57,9190,what kind of shithole president lies about having a stockpile of vaccines,[]
Boxmommie,3197,1828,12911,2021-01-17 16:32:56,0,"@thomaskaine5 Accuse the other side what you are guilty of. ""STOP THE STEAL"" The art of the deal is sleight of hand. Trump has stolen our stockpile of vaccine and our top secret information. He incited an insurrection to cover it up. Where are the vaccines?? What about the Russian Hack???",[]
jeremyfaust,2514,69588,28850,2021-01-17 16:32:56,1302,"If you, out of curiosity, get an antibody test after the second dose of vaccine, and it is negative, don't freak out. The test was probably done against nucleoprotein, not spike protein. And there is no nucleoprotein in the US/EU vaccines. You will only make antispike antibodies.",[]
rvestal69,4046,1036,10143,2021-01-17 16:32:56,64,"Israel: Provide Vaccines to Occupied Palestinians 

Over 4.5 Million in West Bank, Gaza Excluded From Vaccination Push https://t.co/5aSmG80lkl https://t.co/Y3bNpTlING",[]
NoMoreT53693016,15,1,1045,2021-01-17 16:32:56,0,"@juancarloq @Mike_Pence Governors were told repeatedly by @HHSgov there was a strategic reserve of vaccines, and this week, the American people were told it’d be released to increase supply of vaccine.
 
It appears now that no reserve exists. The Trump admin. must answer immediately for this deception.",[]
AndAmericaForA1,469,144,8915,2021-01-17 16:32:55,457,"“We’re inheriting a huge mess here,” Ron Klain, Biden’s WH chief of staff says on @CNNSotu of vaccines.
Says expects US to hit 500,000 covid deaths in February.",[]
SeventiesC,287,101,13788,2021-01-17 16:32:55,2,"I should just give up &amp; stop counting how many times Evan Solomon says Canada has Vaccine ""Shortage""

As he's the ONLY host on TV saying so

Waste of my time - if Canadians believe we have shortage of Vaccines (despite undisputed proof they are sitting in Prov Freezers)

So be it https://t.co/dfGwSY8AIH",[]
FrankD15045027,5927,5670,67126,2021-01-17 16:32:55,9190,what kind of shithole president lies about having a stockpile of vaccines,[]
goodfella781,312,60,3615,2021-01-17 16:32:54,108,"""Prime Minister Justin Trudeau made headlines for ordering four times what the Canadian population required, but the bulk are vaccines the country hasn’t approved yet.""

Trudeau is great at making headlines, but weak at delivering results.

#Cdnpoli
https://t.co/FDXS570C7g",[]
RezaMac,1033,4192,7026,2021-01-17 16:32:54,193,"We are a LONG way away from equity in access to vaccines for COVID-19. Imagine - to date, some 35 million vaccine doses have been administered. How many in low income countries? 25. Not million. Not thousand. 25 doses have been administered so far in LICs. @UN_SDG @covaxxvaccine",[]
LordOssy,144,13,1885,2021-01-17 16:32:54,0,@NafdacAgency what the vaccines will do to Nigerians if you approve it here.Their blood will be on your head be warned.,[]
njoku77,1480,251,1890,2021-01-17 16:32:53,807,"Wear a mask.
Wear a mask.
Wear a mask.

Wash your hands.
Wash your hands.
Wash your hands.

Avoid crowds and parties.
Avoid crowds and parties.
Avoid crowds and parties.

We don’t have vaccines in Nigeria.
We cannot afford another lockdown.

Pls wear a mask. This virus is crazy.",[]
ashlynnnramirez,234,305,17687,2021-01-17 16:32:52,103,"Vaccines won't change the overall pandemic curve for months, but scaling up vaccinations will greatly reduce deaths. No time to waste.",[]
MickWalsh63,3348,409,12226,2021-01-17 16:32:52,0,"@VladPutin1 @atticrahman @Mike_Fabricant You seemed to dismiss it based on its publication date. Apologies if I misunderstood your comment in that respect. It says that '[w]hile adenoviral vectors have been tested in far more people than mRNA vaccines, the technology is used in only one commercial vaccine today:'....",[]
Kathy29151070,2,1,17,2021-01-17 16:32:51,0,@FLHealthLake Please indicate which vaccines are being given at each site.,[]
