username,following,followers,totaltweets,tweetcreated,retweetcount,text,hashtags
GiliwayaDoraine,402,382,65726,2021-01-16 14:39:33,75,"Everyone, everywhere should have access to COVID-19 vaccines. Add your voice to the call for a #PeoplesVaccine by sending a tweet to @Moderna_TX executive @sbancel now, demanding that COVID-19 vaccines be affordable and accessible to all! #OneWorldProtected","[{'text': 'PeoplesVaccine', 'indices': [108, 123]}]"
_Indiaupdates,102,237,10106,2021-01-16 14:39:33,0,‘Made in India’ vaccines proof of ‘Aatmanirbhar Bharat’: Shah https://t.co/yc57PQwPgN #COVID2019 #NationalNews #AmitShah #Covaxin - India Updates News,"[{'text': 'COVID2019', 'indices': [86, 96]}, {'text': 'NationalNews', 'indices': [97, 110]}, {'text': 'AmitShah', 'indices': [111, 120]}, {'text': 'Covaxin', 'indices': [121, 129]}]"
JDEadonWriter,1570,511,2711,2021-01-16 14:39:33,0,"@10DowningStreet SARS vaccines are entirely experimental, and I've heard concerns expressed.
To me, the vaccine is FAR MORE WORRYING than the disease.
It's irresponsible, it seems to me, to pressure this medication on people, we literally do not know the side effects beyond a several weeks.
#SARS","[{'text': 'SARS', 'indices': [292, 297]}]"
Chopsie_notts,942,149,5960,2021-01-16 14:39:32,1366,Fuck’s sake I’ve just realised they’re gonna count the second doses as vaccines delivered,[]
hensnbitties,1639,674,7617,2021-01-16 14:39:32,0,@WhatAimeeWrites @BrianEntin Same thing in my Fla county. Last 2 weeks they had NO vaccines available for anyone.,[]
kestrel86,2,34,15,2021-01-16 14:39:31,0,"@kakape Thanks for this explanation.  To what extent can this be seen as an advantage when it comes to adjusting vaccines and treatments?  If the virus evolves in a predictable way by producing several similar mutations, won’t that make adapting vaccines easier?",[]
Peacelover65,500,290,17089,2021-01-16 14:39:31,0,@TimesNow He is suspecting the honesty and efficiency of our scientists. AIIMS Director is not from any private company. Political persons doubting the vaccines need not take them.,[]
baldev_bahl,4279,4707,328252,2021-01-16 14:39:31,30,"I appeal to everyone, not to believe in rumours or misinformation campaigns being spread by vested interests.

The vaccines have been approved for emergency use only after their safety &amp; immunogenicity has been verified.

@PMOIndia @MoHFW_INDIA https://t.co/W9XxiZqSCM",[]
stash62,1378,222,10169,2021-01-16 14:39:31,4238,"Remember when the govt counted 2 gloves in a pair as “two” separate items of PPE?

Well, to be vaccinated against Covid, you need a course of 2 vaccines.

Yet the govt’s official vaccination figs count a single dose as “vaccinated”.

Any chance the press could clarify urgently?",[]
GregTho00457855,69,40,12207,2021-01-16 14:39:31,0,@GovEvers You didn’t even distribute the vaccines you had. Quit pointing the finger and look in the mirror,[]
TRVPNiFiCENT,852,1143,25260,2021-01-16 14:39:30,4,Nigeria hasn’t bought any Covid-19 vaccines yet as Africa’s most populous nation is still assessing the cost and logistics for a nationwide roll-out https://t.co/kCIRVw7kyr,[]
midnightchoir9,707,237,12450,2021-01-16 14:39:30,4071,"Vaccines are designed to save lives, not political parties",[]
shandu009,2782,2781,92888,2021-01-16 14:39:30,0,"@BekithembaZ All vaccines have siedeffects, one of these being fatality. If I die at 80, there s nothing more left to achieve",[]
Tunde_007,1568,40,745,2021-01-16 14:39:30,4,Nigeria hasn’t bought any Covid-19 vaccines yet as Africa’s most populous nation is still assessing the cost and logistics for a nationwide roll-out https://t.co/kCIRVw7kyr,[]
RicScott8,194,321,40224,2021-01-16 14:39:30,4,This is great but the @NHSLouisaJordan only serves a certain geographical area of Scotland. I hope vaccines are fairly distributed throughout all areas. https://t.co/QM6FLl8dNV,[]
Artis_Elemental,8058,7370,521724,2021-01-16 14:39:30,72,"Trump's final full week in office ends with the nation in disarray
https://t.co/1ij6Uw9mQF",[]
KylePPatel,1265,713,5194,2021-01-16 14:39:29,2,"So grateful that @wsbtv is helping to get the word out that @MRCGEM is accepting both medical and non-medical volunteers to help get vaccines into arms.

https://t.co/d32Dzvf3ut

(Also, I guess we outed the giant jar of Hi-Chews in my Senate office.) https://t.co/8Eh19q5xED",[]
HappyBigGrin,1655,3380,71080,2021-01-16 14:39:28,10,"""I want you to know
With everything, I won't let this go
These words are my heart and soul
I'll hold on to this moment, you know
As I bleed my heart out to show
And I won't let go""
💔
#Angel #Grief #Vaccines #Kill https://t.co/3d2zcMT1br",[]
brecordernews,55,38696,135176,2021-01-16 14:39:28,0,"The Sindh Health Minister demanded that the two vaccines which were approved by DRAP, should be allowed to be purchased at the provincial level.

To save lives, it is important that we start vaccinating as soon as possible, she added. 
https://t.co/4rTEEhbW7t",[]
lucasmatias013,2460,508,6374,2021-01-16 14:39:28,16,"A million doses of COVID-19 vaccines developed by China's Sinopharm arrived in Serbia on Saturday, receiving a personal welcome at the airport from the country's president. #GLOBALink https://t.co/6elDI2zBNC",[]
AlexSElliot,956,149,36428,2021-01-16 14:39:28,33731,"Last night, I received disturbing news, confirmed to me directly by General Perna of Operation Warp Speed: States will not be receiving increased shipments of vaccines from the national stockpile next week, because there is no federal reserve of doses.",[]
AlexBerenson,187,216421,13044,2021-01-16 14:39:27,0,"2/ But the story gets worse. The risk of #sarscov2 rises notably after 65. But it goes parabolic after 75, which is why in Europe the median age of #Covid deaths is over 80. (The US is a bit younger, probably bc we are so obese.) So do the vaccines work in really elderly people? https://t.co/5Xaa5Q7FN5","[{'text': 'sarscov2', 'indices': [41, 50]}, {'text': 'Covid', 'indices': [148, 154]}]"
jameylj86,2972,463,21203,2021-01-16 14:39:27,2802,"So, did Jared Kushner loot the vaccines that were supposedly being held in reserve?",[]
PrincessAurora7,3715,196,2425,2021-01-16 14:39:27,0,"Coronavirus latest news: Ending lockdown in February would be a 'disaster', Sage scientist warns https://t.co/T7DL1BwUwU via @Telegraph",[]
tawahwah,175,326,21911,2021-01-16 14:39:27,83,"Vaccines are safe and are tested to the highest standards. Two #Covid19 vaccines have been approved in the EU with more to come in the near future.

Below I answer some of the top questions I’ve received about vaccines.

Please share so that other people can get the facts too👇🏻 https://t.co/lexq6ZgVDv","[{'text': 'Covid19', 'indices': [80, 88]}]"
RitaQ08905876,574,286,2171,2021-01-16 14:39:26,1618,".@StateDept medical team successfully administered more than 1,700 vaccines to essential domestic personnel in the first week. #TakingCareOfOurPeople https://t.co/EbFnW1rQpU",[]
xfsista,1010,1157,37067,2021-01-16 14:39:26,356,"Situation with new #sarscov2 variants is becoming harder to follow (and not just because of the names), so let me try and give a brief overview: Where are we at? What should we be worried about? And how worried? 

Story is up here: https://t.co/aeWfaXQzbK
And now a thread...","[{'text': 'sarscov2', 'indices': [31, 40]}]"
Rory88__,760,550,2882,2021-01-16 14:39:26,983,"Today’s mass vaccination clinic @NHSLouisaJordan is well underway, as 5,000 Covid-19 vaccines are set to be administered throughout the day in collaboration with @NHSGGC! https://t.co/L7bibd9TOL",[]
JadePinkSameera,11018,10977,108599,2021-01-16 14:39:26,86,"Great NEWS!

@PresElectBiden calls for $50B for testing - including rapid tests.

Thank you @JoeBiden &amp; team for recognizing need to invest in right tools that, if used correctly, can reopen America safely &amp; curb spread as vaccines arrive 

#rapidtests  https://t.co/G6o2zWYjXn",[]
CubbieBear724,2768,1676,16709,2021-01-16 14:39:25,2168,"So I’m confused.  Did the Trumps literally sell vaccines out the back door.  You can’t really mislay 20 million vaccines, can you?",[]
hortkie,6808,6584,71403,2021-01-16 14:39:24,2168,"So I’m confused.  Did the Trumps literally sell vaccines out the back door.  You can’t really mislay 20 million vaccines, can you?",[]
Jituman61401482,132,74,16773,2021-01-16 14:39:24,30,"I appeal to everyone, not to believe in rumours or misinformation campaigns being spread by vested interests.

The vaccines have been approved for emergency use only after their safety &amp; immunogenicity has been verified.

@PMOIndia @MoHFW_INDIA https://t.co/W9XxiZqSCM",[]
abholymoly,4900,1161,106853,2021-01-16 14:39:24,2,@doctor_oxford @bane_baldy Zahawi is now pushing the data of vaccines offered as official government figures rather than vaccines administered,[]
jayveesambo,197,251,18335,2021-01-16 14:39:23,836,"Very irresponsible statement ! 
Vaccines are not things.They are our lifesavers to end the pandemic. People believe arrogance is excessive confidence, but it’s really a lack of confidence. Arrogant people are insecure, and often repel others to evade the question. https://t.co/M11ViIhsg6",[]
HealthSenseLLC,163,259,1536,2021-01-16 14:39:22,1,"Nationwide #AgingLifeCareManagers are zooming and sharing strategies on this patchwork plan. If you need help find a vaccine, an #ALCA member could help navigate. #vaccines  @nytimes  https://t.co/O99mdXEjE3","[{'text': 'AgingLifeCareManagers', 'indices': [30, 52]}]"
dxniellecxrdno,214,202,1550,2021-01-16 14:39:22,983,"Today’s mass vaccination clinic @NHSLouisaJordan is well underway, as 5,000 Covid-19 vaccines are set to be administered throughout the day in collaboration with @NHSGGC! https://t.co/L7bibd9TOL",[]
rickles955,190,119,19053,2021-01-16 14:39:22,8970,"Brilliant scientists produced nearly-miraculous vaccines in record time. Politicians, officials, and policymakers have screwed up the delivery. It’s a national scandal, echoed across many states, that can measured in hardship and death.",[]
thamaga1,116,3,20,2021-01-16 14:39:21,0,@SABreakingNews Ramaphosa liar no vaccines coming just tell our SA Doctors to start with invermectin,[]
charuhaasparab,3318,234,49131,2021-01-16 14:39:21,1055,"People getting Bharat Biotech’s Covaxin from today will have to sign an additional consent form. 

But here’s the catch - you do NOT get to choose between the 2 vaccines &amp; have to take whatever is available at the vaccination site. 

What even is the meaning of such “consent”?",[]
SJena614,9,1,3293,2021-01-16 14:39:21,27,"#Vaccines provide immunity, protecting us and our communities from contracting diseases, and the #Covid19 vaccines will serve as one more vital tool in building a healthier world for us all.

#LargestVaccineDrive","[{'text': 'Vaccines', 'indices': [20, 29]}, {'text': 'Covid19', 'indices': [117, 125]}]"
biobaby19,2074,957,196020,2021-01-16 14:39:20,4238,"Remember when the govt counted 2 gloves in a pair as “two” separate items of PPE?

Well, to be vaccinated against Covid, you need a course of 2 vaccines.

Yet the govt’s official vaccination figs count a single dose as “vaccinated”.

Any chance the press could clarify urgently?",[]
sonokocentral,1367,987,333147,2021-01-16 14:39:19,236,"The entire pandemic response from PPE to PPP to vaccines was rooted in profit, gaslighting, and money laundering. The incompetence led to 400,000 deaths and millions more to starve. On top of that, the outgoing administration is trying to sabotage the next one. Arrest them all.",[]
Jituman61401482,132,74,16773,2021-01-16 14:39:19,25,"The #COVID19vaccines will prove to be a 'Sanjeevani' to end this #pandemic 

Kudos to our scientists &amp; researchers for providing us with these 2 vaccines in record time, bringing us closer to achieving triumph over #COVID19

@PMOIndia @MoHFW_INDIA https://t.co/FP2Sy5DjWo","[{'text': 'COVID19vaccines', 'indices': [24, 40]}, {'text': 'pandemic', 'indices': [85, 94]}]"
meg_eDPT,398,213,2185,2021-01-16 14:39:19,51,"A story in 4 acts.

Top L - coronavirus deaths
Bottom L- % non-white residents

Top R - coronavirus vaccines
Bottom R - Median household income

The similarities are obvious and inexcusable. @MayorBowser  #DC https://t.co/v6uJYi50H0 https://t.co/A12JQqmWBw",[]
genilin2850,2773,1950,37968,2021-01-16 14:39:18,26,@jaymeruimveld @Laurie_Garrett @USGSA There are no vaccines to wait for. @SecAzar has resigned because he and Trump were #lying about the # of vaccines they bought/secured. What is in the States now is what there is until June unless Biden can work a miracle. #GOPGenocide,[]
Haveyouseenth19,8,3,383,2021-01-16 14:39:17,0,"@localnotable @mattyglesias The failure of the economic policy response and the failure of the testing, tracing, and immunization responses are distinct - which is why countries that gave out LESS money can somehow have BETTER health outcomes.
I recall Joe Manchin focusing on vaccines as a priority, do you?",[]
TinkuMehta19,127,51,5319,2021-01-16 14:39:16,29,"While Dr. Trehan is leading by example, the ""news"" portal run by his wife is busy creating fear about the satefy of vaccines. https://t.co/e5GoWcQV05 https://t.co/2EvRBqhuk6",[]
LyndaE222,768,1909,715970,2021-01-16 14:39:16,2,Alternate headline. Vaccine manufacturers still trying to understand why Anand and Trudeau waited so long before ordering vaccines. https://t.co/KF2VieR393,[]
EmptyWo76031418,27,1,74,2021-01-16 14:39:16,2168,"So I’m confused.  Did the Trumps literally sell vaccines out the back door.  You can’t really mislay 20 million vaccines, can you?",[]
nathanielalam_m,1101,148,9697,2021-01-16 14:39:15,22,I’m amazed at how lame our tech industries were at helping during the pandemic. Tracing? Data collection and analysis? Mapping? Information reliability? Vaccine registration?  All fails.  https://t.co/YqNw6BkdiC,[]
loulauder,587,344,11354,2021-01-16 14:39:14,983,"Today’s mass vaccination clinic @NHSLouisaJordan is well underway, as 5,000 Covid-19 vaccines are set to be administered throughout the day in collaboration with @NHSGGC! https://t.co/L7bibd9TOL",[]
ipraveenkanna,15,70,187,2021-01-16 14:39:14,929,"World’s #LargestVaccineDrive  ever in Bharath. Congratulations to our Scientists, healthcare workers and administration. Vaccines will definitely help mitigate Virus risk substantially but still very important to maintain protocols of non-spread. Blessings. -Sg","[{'text': 'LargestVaccineDrive', 'indices': [24, 44]}]"
cphelan,117,166,28341,2021-01-16 14:39:13,4238,"Remember when the govt counted 2 gloves in a pair as “two” separate items of PPE?

Well, to be vaccinated against Covid, you need a course of 2 vaccines.

Yet the govt’s official vaccination figs count a single dose as “vaccinated”.

Any chance the press could clarify urgently?",[]
JessMaBi1,263,17,861,2021-01-16 14:39:13,67,"BREAKING - Since December 2020 - USA has procured

LESS than 40 Million #Covid19 Vaccines 

For a population of over

328 MILLION 

State Governors FURIOUS

Didn't @kinsellawarren tell @brianlilley &amp; @charlesadler  Trump did a better job on Vaccines than Justin Trudeau? #cdnpoli https://t.co/IZeBtbPszT","[{'text': 'Covid19', 'indices': [83, 91]}]"
Cancerian_Rose,256,104,2631,2021-01-16 14:39:13,29,@TiffanyHaddish I am a Black female physician with over 20 years of experience working as a front line hospital physician &amp; have spent the past year trying to educate my community w facts on this disease &amp; now vaccines. This are facts not “my” facts.,[]
KirkAlexWright,1904,1503,3944,2021-01-16 14:39:12,4238,"Remember when the govt counted 2 gloves in a pair as “two” separate items of PPE?

Well, to be vaccinated against Covid, you need a course of 2 vaccines.

Yet the govt’s official vaccination figs count a single dose as “vaccinated”.

Any chance the press could clarify urgently?",[]
SilingWu,312,101,2652,2021-01-16 14:39:12,4,"2 weeks after the approval, 1 million doses of  #Sinopharm #vaccines arrived in #Serbia. Hope they could help Serbian people in the fight aginst  #COVID19 pandemic. https://t.co/AysrBq4RWa","[{'text': 'Sinopharm', 'indices': [69, 79]}, {'text': 'vaccines', 'indices': [80, 89]}, {'text': 'Serbia', 'indices': [101, 108]}]"
hernangraffe,5001,2140,106054,2021-01-16 14:39:12,2,#ArtificialIntelligence helps bring about record-fast vaccines. https://t.co/G9tOTLFdUC,"[{'text': 'ArtificialIntelligence', 'indices': [17, 40]}]"
Norm_berry,1795,2507,344367,2021-01-16 14:39:12,229,"1. No vaccine is 100% effective.
2. Vaccines don’t provide immediate protection.
3. Covid vaccines may not prevent you from spreading the virus.
4. Masks protect people with compromised immune systems.
https://t.co/3M0XYIWVJ0",[]
djoretiree,1667,1287,73069,2021-01-16 14:39:11,33732,"Last night, I received disturbing news, confirmed to me directly by General Perna of Operation Warp Speed: States will not be receiving increased shipments of vaccines from the national stockpile next week, because there is no federal reserve of doses.",[]
JillHS23,1809,1745,32067,2021-01-16 14:39:11,0,@louanndavies No. The vaccines are not reaching the GPs. My Mum is 92 and her care home is still awaiting their first vaccinations. Yesterday a key worker tested positive. My Dad is in a different care home and was given 1st jab 4 wks ago. No sign of 2nd. Some vaccs are 50% effective after 1st,[]
csspoonerny,3406,2175,10127,2021-01-16 14:39:10,324,"Trudeau just stated that he has secured the most vaccines than any other country in the world!  

Be assured - secured means nothing.  Procured and delivered does.  

We are trailing the world on this.",[]
Makoto_1960,807,1574,19383,2021-01-16 14:39:10,683,"China calls for Norway and other countries to suspend the use of mRNA-based COVID-19 vaccines produced by companies such as Pfizer, due to safety concerns. 23 dead in Norway. 

https://t.co/rZvVF3vyjM",[]
khaneliegohar,539,900,27720,2021-01-16 14:39:09,1668,"Our frontline polio heroes are unstoppable❕

As extreme cold weather ❄️ blankets Azad Jammu &amp; Kashmir, these brave women make their way through several feet of snow to deliver vaccines to children 👧🏻👦🏻 during the ongoing #endpolio campaign.
#SalamPolioWorker https://t.co/srwFotTM3S",[]
lovejef08,679,149,2491,2021-01-16 14:39:09,173,"No vaccines have been authorized for general use in the PH, but here's a booming bootleg trade for them.

This past two weeks, we found Filipino workers left out of POGO immunization drives, plans for customs to relabel shipments as supplements, and more: https://t.co/sROiExN1KT",[]
xscoutie,16929,16981,382503,2021-01-16 14:39:09,4,Nigeria hasn’t bought any Covid-19 vaccines yet as Africa’s most populous nation is still assessing the cost and logistics for a nationwide roll-out https://t.co/kCIRVw7kyr,[]
CumbriaWitch,280,353,36832,2021-01-16 14:39:09,16,"1/ What @benmezrich does not seem to see when he insists the vaccines MUST reduce mortality because they cut infections: the data show they were far less effective in older people. People over 65 had a 14% chance of infection after the Moderna shot, 3x the odds of younger people. https://t.co/Iy1C7JTKAx",[]
ADelgersaikhan,6921,14939,14840,2021-01-16 14:39:09,16,"A million doses of COVID-19 vaccines developed by China's Sinopharm arrived in Serbia on Saturday, receiving a personal welcome at the airport from the country's president. #GLOBALink https://t.co/6elDI2zBNC",[]
staff236,920,398,13430,2021-01-16 14:39:09,10,Doctors are told to bin leftover vaccines instead of giving second doses https://t.co/QjQIhEhQZ8,[]
AvinashPhadtar2,224,11,198,2021-01-16 14:39:07,929,"World’s #LargestVaccineDrive  ever in Bharath. Congratulations to our Scientists, healthcare workers and administration. Vaccines will definitely help mitigate Virus risk substantially but still very important to maintain protocols of non-spread. Blessings. -Sg","[{'text': 'LargestVaccineDrive', 'indices': [24, 44]}]"
Jules_Clarke,662,1506,549786,2021-01-16 14:39:07,1,Only 400k have actually had both vaccines and so are actually vaccinated. Sick of Tory lies.,[]
miz22,321,46,8902,2021-01-16 14:39:07,983,"Today’s mass vaccination clinic @NHSLouisaJordan is well underway, as 5,000 Covid-19 vaccines are set to be administered throughout the day in collaboration with @NHSGGC! https://t.co/L7bibd9TOL",[]
lorraineannaurl,339,419,29878,2021-01-16 14:39:07,520,"PUBLIC WARNING? Almost a year into the pandemic, the FDA decides these masks aren’t okay? Panahong dalgona pa, ginagamit na ang mga ito, especially Aidelai. We even have that at home now. How sure are we you can decide on the vaccines if it took you so long to decide on masks? https://t.co/7Pg3389z04",[]
Midnightlady927,493,306,21299,2021-01-16 14:39:06,6,@ifindkarma @IvankaTrump Add lied about a surplus of Covid vaccines,[]
JJDebut,2301,571,129643,2021-01-16 14:39:05,209,I've asked for weeks for Wisconsin to receive more vaccines from the federal reserve so we can distribute more vaccinations across our state. Now the Trump Administration is saying there is no federal reserve. It's a slap in the face to Wisconsinites who need these vaccines now. https://t.co/gmE8KepsY4,[]
david_paracka,93,16,826,2021-01-16 14:39:05,0,@jimmalatras @ualbany @SUNY But the federal government has thrown a wrench in the works. Not enough vaccines at all. Nice...,[]
mainecoonmommy,1012,565,5004,2021-01-16 14:39:02,2802,"So, did Jared Kushner loot the vaccines that were supposedly being held in reserve?",[]
StormyVNV,22353,30517,441073,2021-01-16 14:39:02,34,"Everyone, everywhere should have access to COVID-19 vaccines. Add your voice to the call for a #PeoplesVaccine by sending a tweet to Johnson &amp; Johnson @JNJNews now, demanding that COVID-19 vaccines be affordable and accessible to all! #OneWorldProtected","[{'text': 'PeoplesVaccine', 'indices': [108, 123]}]"
DCHNYC,1771,315,43902,2021-01-16 14:39:02,33732,"Last night, I received disturbing news, confirmed to me directly by General Perna of Operation Warp Speed: States will not be receiving increased shipments of vaccines from the national stockpile next week, because there is no federal reserve of doses.",[]
HRajola,49,493,44492,2021-01-16 14:39:02,4071,"Vaccines are designed to save lives, not political parties",[]
Heerak4Congress,337,151,18134,2021-01-16 14:39:01,0,"Norway government has documented deaths of dozens of elderly from @pfizer_news @BioNTech_Group COViD vaccines! @margbrennan @jaketapper @GStephanopoulos @chucktodd @JudyWoodruff @drsanjaygupta @ScottGottliebMD
@CDCDirector @SteveFDA @NIHDirector @JeromeAdamsMD

See pinned tweet! https://t.co/OB3yhadZan",[]
